Field,Poly,0.4861,0.5876,0.6563
0.0,2.9388965,4.3878815,2.388484,0.97620587
1.44,2.9109375,4.351293,2.358798,0.95349732
2.88,2.835906,4.248217,2.2799506,0.90973781
4.32,2.7415146,4.0994205,2.1847187,0.92373414
5.76,2.6760458,3.9412698,2.1318968,1.1005951
7.2,2.7036199,3.8256539,2.1984297,1.4772915
8.64,2.8834579,3.8130648,2.4451223,2.0170023
10.08,3.2404531,3.9543461,2.8803584,2.6738563
11.52,3.7568354,4.2690388,3.4676423,3.411756
12.96,4.3917105,4.7408965,4.157784,4.2013908
14.4,5.1050215,5.3379395,4.9095671,5.0190363
15.84,5.875932,6.0450419,5.7011186,5.8509435
17.28,6.723709,6.9023159,6.545655,6.7052823
18.72,7.7402932,8.0516799,7.5201981,7.6350968
20.16,9.1334887,9.7810397,8.8073467,8.774548
21.6,11.258235,12.531546,10.731496,10.380385
