Field,Poly,0.4861,0.5876,0.6563
0.0,1.5458623,2.1591448,1.3435168,0.83793019
1.44,1.5596492,2.1742178,1.3576027,0.85102785
2.88,1.5985846,2.2165237,1.3975214,0.88836088
4.32,1.6555566,2.2775657,1.4564109,0.94412477
5.76,1.7192526,2.3439489,1.5233456,1.0089589
7.2,1.7749862,2.3984563,1.5841035,1.0705794
8.64,1.8059765,2.4215815,1.6223343,1.1149203
10.08,1.7954382,2.3938811,1.6214338,1.128144
11.52,1.7304863,2.3001822,1.5679951,1.1005925
12.96,1.6107658,2.138557,1.4594156,1.0358818
14.4,1.4697847,1.9420379,1.3231476,0.97300317
15.84,1.4196499,1.8266587,1.2601553,1.0210746
17.28,1.6616249,2.0248899,1.464135,1.3231802
18.72,2.3240676,2.7285181,2.0634615,1.9285911
20.16,3.3986327,3.949121,3.0454059,2.8244758
21.6,4.8823746,5.674617,4.4004875,4.0214957
