Field,Poly,0.4861,0.5876,0.6563
0.0,1.2917594,1.9049969,1.0970843,0.41631671
1.442,1.2906802,1.8950937,1.0951319,0.417326
2.884,1.29258,1.871507,1.0942894,0.42551212
4.326,1.3105733,1.8507364,1.1079512,0.45389958
5.768,1.3615678,1.8562429,1.1551915,0.51993947
7.21,1.4668439,1.9191229,1.2620706,0.64827342
8.652,1.663007,2.0887489,1.4700582,0.8784002
10.094,2.0242231,2.4565075,1.8514424,1.2734158
11.536,2.6975447,3.1966957,2.5380365,1.94318
12.978,3.9654927,4.6412423,3.7838681,3.1033465
14.42,6.3686708,7.4255888,6.0888563,5.1879847
15.862,10.930066,12.751741,10.408911,9.0356403
17.304,19.490112,22.772537,18.454976,16.151486
18.746,35.052345,40.965541,32.984836,28.961389
20.188,62.07706,72.413429,57.993948,50.965526
21.63,107.98036,125.50034,99.810609,87.610295
