Field,Poly,0.4861,0.5876,0.6563
0.0,0.6234,0.7005,0.6089,0.5518
1.4,0.6468,0.7056,0.6137,0.5556
2.8,0.7117,0.7214,0.6285,0.5676
4.2,0.8062,0.7499,0.655,0.5892
5.6,0.9191,0.7938,0.6953,0.6227
7.0,1.0422,0.856,0.7516,0.6703
8.4,1.1707,0.9391,0.826,0.734
9.8,1.3024,1.0451,0.9198,0.8155
11.2,1.437,1.1751,1.034,0.9154
12.6,1.5755,1.3297,1.1688,1.0341
14.0,1.7203,1.5093,1.3243,1.1718
15.4,1.8746,1.7143,1.5008,1.3284
16.8,2.0423,1.9452,1.6985,1.5041
18.2,2.2277,2.203,1.918,1.6995
19.6,2.4353,2.4892,2.1604,1.9152
21.0,2.6698,2.8059,2.4273,2.1527
