Field,Poly,0.4861,0.5876,0.6563
0.0,0.4351,0.4812,0.353,0.4603
1.4,0.435,0.4815,0.3517,0.4597
2.8,0.4347,0.4827,0.3482,0.4581
4.2,0.4345,0.485,0.3428,0.4557
5.6,0.4349,0.4888,0.3363,0.4529
7.0,0.4366,0.4945,0.3297,0.4501
8.4,0.4402,0.5026,0.3245,0.4482
9.8,0.4468,0.5131,0.3225,0.4479
11.2,0.4574,0.5258,0.3257,0.4502
12.6,0.4735,0.5404,0.3367,0.4566
14.0,0.4969,0.5563,0.3579,0.4686
15.4,0.5306,0.5735,0.3923,0.4887
16.8,0.5785,0.5935,0.4432,0.5203
18.2,0.6466,0.6205,0.5148,0.568
19.6,0.7429,0.6639,0.6129,0.6382
21.0,0.8773,0.7394,0.7451,0.7389
