Field,Poly,0.4861,0.5876,0.6563
0.0,3.6886085,4.283651,3.5340948,3.158798
1.44,3.6870481,4.2817299,3.5325432,3.1574248
2.88,3.6823688,4.2759695,3.5278909,3.1533072
4.32,3.6745762,4.2663797,3.5201454,3.1464516
5.76,3.6636802,4.2529769,3.5093191,3.136869
7.2,3.6496949,4.2357848,3.4954305,3.1245752
8.64,3.6326396,4.2148352,3.4785039,3.1095914
10.08,3.6125388,4.1901684,3.4585707,3.0919447
11.52,3.5894236,4.1618348,3.4356697,3.071669
12.96,3.5633316,4.1298949,3.4098481,3.0488052
14.4,3.5343074,4.0944205,3.3811621,3.0234023
15.84,3.5024024,4.0554947,3.3496766,2.9955168
17.28,3.467673,4.0132105,3.3154651,2.9652128
18.72,3.4301774,3.9676683,3.2786065,2.9325591
20.16,3.389969,3.9189688,3.2391808,2.8976255
21.6,3.3470837,3.8672016,3.1972592,2.8604736
