Field,Poly,0.4861,0.5876,0.6563
0.0,0.25609057,0.38759643,0.21322065,0.032451355
0.94666667,0.27493682,0.3931952,0.22177173,0.064222846
1.8933333,0.32387966,0.40919017,0.24527744,0.11522291
2.84,0.38903554,0.43342069,0.27897507,0.16821083
3.7866667,0.45969757,0.46288701,0.31802203,0.2207813
4.7333333,0.52888709,0.49418484,0.35841638,0.271776
5.68,0.59162219,0.52370043,0.39681719,0.3200774
6.6266667,0.64375422,0.54764092,0.43017694,0.36442659
7.5733333,0.68143342,0.56207958,0.45554135,0.40348862
8.52,0.7010585,0.56330291,0.47018363,0.43617009
9.4666667,0.69989721,0.54911426,0.47242978,0.46242174
10.413333,0.67825415,0.52290325,0.46418317,0.48503528
11.36,0.64569487,0.50479973,0.45747717,0.5131812
12.306667,0.63591329,0.55023153,0.48638097,0.56746698
13.253333,0.72240945,0.73716616,0.60794855,0.68178226
14.2,0.9863696,1.1109094,0.8700899,0.89527096
