Field,Poly,0.4600,0.5500,0.6300,0.9000
0.0,0.026206718,0.021857216,0.03103669,0.027802399,0.010153101
1.3333333,0.026231409,0.021782599,0.030986397,0.027765487,0.010136799
2.6666667,0.026322223,0.021584977,0.030848682,0.027665977,0.010102974
4.0,0.026526798,0.021340976,0.030662086,0.027536754,0.010095307
5.3333333,0.026915184,0.021168332,0.030486998,0.02742944,0.01017966
6.6666667,0.027564136,0.021201588,0.030397784,0.027407997,0.010429042
8.0,0.028534929,0.021546975,0.030469078,0.027537782,0.010899351
9.3333333,0.02985062,0.022226026,0.030758018,0.027871721,0.011604944
10.666667,0.031485544,0.023140977,0.031292704,0.028442191,0.012511687
12.0,0.033388475,0.024111946,0.032093608,0.029280581,0.013566048
13.333333,0.035580984,0.025073104,0.033286586,0.030512024,0.014788193
14.666667,0.038427409,0.026665365,0.03542894,0.032621488,0.016499951
16.0,0.043262307,0.031566724,0.040218807,0.037026997,0.019780912
17.333333,0.053469444,0.045485039,0.051448403,0.046887934,0.026971726
18.666667,0.075484039,0.075970396,0.075473933,0.067643511,0.041780235
20.0,0.11994137,0.13419952,0.12234741,0.10806978,0.07003353
