Field,Poly,0.5500,0.4700,0.6300
0.0,0.034668776,0.02783707,0.04631238,0.026192232
0.93333333,0.035503164,0.028758883,0.046747499,0.02727969
1.8666667,0.038121315,0.031620589,0.048270993,0.030503667
2.8,0.042779851,0.03661626,0.051449504,0.035769357
3.7333333,0.049694922,0.043867841,0.056947701,0.042957063
4.6666667,0.058919979,0.053346235,0.065223825,0.051931505
5.6,0.070338139,0.064892225,0.076369198,0.062533824
6.5333333,0.083709933,0.078259754,0.090154337,0.074570477
7.4666667,0.098714862,0.093140939,0.10615597,0.087804334
8.4,0.11497057,0.1091728,0.12384938,0.1019478
9.3333333,0.13203648,0.12593486,0.14264661,0.11665705
10.266667,0.14941092,0.14294406,0.16190319,0.13152702
11.2,0.16652777,0.15965091,0.18091494,0.14608799
12.133333,0.18275756,0.17544047,0.19891785,0.15980561
13.066667,0.19741959,0.18964441,0.21510237,0.17208893
14.0,0.20981771,0.20157645,0.22865939,0.18231597
