Field,Poly,0.4861,0.5876,0.6563
0.0,1.6139551,0.59561655,0.25602373,2.7192363
0.96,1.6027789,0.59925026,0.23547022,2.6977471
1.92,1.5781225,0.65063736,0.19428217,2.6366931
2.88,1.565045,0.82849473,0.20932527,2.5462802
3.84,1.597606,1.1549969,0.3258946,2.4433161
4.8,1.7031992,1.5938294,0.48504398,2.3506358
5.76,1.8870653,2.0996438,0.6319836,2.2958909
6.72,2.1335003,2.633696,0.72324935,2.3099947
7.68,2.4242121,3.1691814,0.72293721,2.4268718
8.64,2.762647,3.7038944,0.63811881,2.6868159
9.6,3.2002964,4.2857542,0.69491122,3.1428249
10.56,3.8592259,5.0499493,1.3095457,3.8649199
11.52,4.9299612,6.2455706,2.51699,4.9393795
12.48,6.6384943,8.2149034,4.3435521,6.467372
13.44,9.2305661,11.351336,6.9261726,8.5715769
14.4,13.021479,16.135753,10.504913,11.422871
