Field,Poly,0.4861,0.5876,0.6563
0.0,0.2755365,0.45501995,0.030895249,0.1405824
2.0666667,0.27859009,0.45536803,0.029547447,0.13840194
4.1333333,0.28272419,0.45016418,0.02680324,0.13699375
6.2,0.28192544,0.42801933,0.049412625,0.15215464
8.2666667,0.28492483,0.38863792,0.11558415,0.20085892
10.333333,0.31219341,0.35248051,0.2089837,0.27940555
12.4,0.36402862,0.34232513,0.30590283,0.3654671
14.466667,0.41443556,0.34902277,0.38256877,0.43586615
16.533333,0.44395133,0.34790853,0.42933359,0.48087481
18.6,0.45831018,0.33936804,0.45819086,0.5098896
20.666667,0.47834218,0.34753492,0.49120689,0.54108674
22.733333,0.50763635,0.3763667,0.53019865,0.57599617
24.8,0.50434111,0.36891816,0.53307891,0.57905915
26.866667,0.41369792,0.24972902,0.44466236,0.50312119
28.933333,0.29059692,0.082128134,0.30222881,0.3792982
31.0,0.29276726,0.095486938,0.23958463,0.32218474
