Field,Poly,0.4861,0.5876,0.6563
0.0,0.24893933,0.066801164,0.083419301,0.41772143
1.442,0.25347753,0.093096928,0.091171921,0.41361441
2.884,0.26716205,0.14778693,0.11212118,0.40168493
4.326,0.28991326,0.21288783,0.14194575,0.38314703
5.768,0.32081256,0.28306646,0.1764392,0.36017429
7.21,0.35743261,0.35355536,0.21083502,0.33627509
8.652,0.39568213,0.4168428,0.23913102,0.31747372
10.094,0.4309512,0.46151815,0.25529342,0.31562716
11.536,0.46255572,0.47256156,0.26056711,0.35380415
12.978,0.5057861,0.43647568,0.28824877,0.46556243
14.42,0.61148806,0.37159971,0.42467117,0.68461112
15.862,0.86175451,0.44294263,0.73878291,1.0433208
17.304,1.3247818,0.84935404,1.2607037,1.5783709
18.746,2.0432235,1.5709041,2.0238772,2.3305766
20.188,3.0503521,2.6023652,3.0652053,3.3396125
21.63,4.3686768,3.9549213,4.4121194,4.6354053
