Y Field,Rel. Ill,Effective F/#
0.00000000,1.00000000,2.4239283
1.0800000,0.99965716,2.4243439
2.1600000,0.99884062,2.4253346
3.2400000,0.99682265,2.4277883
4.3200000,0.99451588,2.4306023
5.4000000,0.99161060,2.4341603
6.4800000,0.98875277,2.4376756
7.5600000,0.97783381,2.4512479
8.6400000,0.96253014,2.4706578
9.7200000,0.93493992,2.5068475
10.800000,0.90402678,2.5493479
11.880000,0.87994873,2.5839915
12.960000,0.86315222,2.6090119
14.040000,0.83897548,2.6463369
15.120000,0.81134579,2.6910190
16.200000,0.76700186,2.7677162
17.280000,0.71908173,2.8584502
18.360000,0.70859398,2.8795262
19.440000,0.68272445,2.9335739
20.520000,0.65696621,2.9905306
21.600000,0.63862299,3.0331751
