Y Field,Rel. Ill,Effective F/#
0.00000000,1.0000000,4.7610180
2.7500000,0.99958267,4.7620117
5.5000000,0.99832901,4.7650008
8.2500000,0.99623419,4.7700079
11.000000,0.99329117,4.7770692
13.750000,0.98949138,4.7862327
16.500000,0.98482564,4.7975570
19.250000,0.97928630,4.8111066
22.000000,0.97286860,4.8269492
24.750000,0.96557207,4.8451527
27.500000,0.95740103,4.8657846
30.250000,0.94836333,4.8889145
33.000000,0.93846693,4.9146244
35.750000,0.92771338,4.9430262
38.500000,0.90959146,4.9920236
41.250000,0.89705963,5.0267717
44.000000,0.86825047,5.1094871
46.750000,0.81931199,5.2598719
49.500000,0.77758081,5.3991707
52.250000,0.71149607,5.6443452
55.000000,0.60865144,6.1026083
