Y Field,Rel. Ill,Effective F/#
0.000000,1.000000,4.616585
1.200000,0.999712,4.617250
2.400000,0.998850,4.619241
3.600000,0.997419,4.622555
4.800000,0.995425,4.627182
6.000000,0.992880,4.633108
7.200000,0.989800,4.640313
8.400000,0.986203,4.648766
9.600000,0.982117,4.658426
10.800000,0.972116,4.682329
12.000000,0.967229,4.694143
13.200000,0.955669,4.722447
14.400000,0.950124,4.736209
15.600000,0.934570,4.775456
16.800000,0.889885,4.893886
18.000000,0.863095,4.969257
19.200000,0.799777,5.162220
20.400000,0.776429,5.239259
21.600000,0.737084,5.377275
22.800000,0.659458,5.684957
24.000000,0.630125,5.815775
