Y Field,Rel. Ill,Effective F/#
0.000000,1.000000,4.739355
1.280000,0.999031,4.741654
2.560000,0.996740,4.747098
3.840000,0.992387,4.757498
5.120000,0.988117,4.767768
6.400000,0.981727,4.783258
7.680000,0.975523,4.798445
8.960000,0.960608,4.835553
10.240000,0.952596,4.855845
11.520000,0.929745,4.915156
12.800000,0.910689,4.966314
14.080000,0.890707,5.021712
15.360000,0.859720,5.111410
16.640000,0.825496,5.216290
17.920000,0.758300,5.442503
19.200000,0.700639,5.662030
20.480000,0.645805,5.897509
21.760000,0.544332,6.423730
23.040000,0.494583,6.739067
24.320000,0.406524,7.433201
25.600000,0.321971,8.352385
