Y Field,Rel. Ill,Effective F/#
0.00000000,1.0000000,2.1997169
1.0500000,0.99897883,2.2008409
2.1000000,0.99589201,2.2042490
3.1500000,0.98166603,2.2201632
4.2000000,0.95042660,2.2563553
5.2500000,0.91578348,2.2986369
6.3000000,0.90887900,2.3073514
7.3500000,0.88179466,2.3425186
8.4000000,0.85929505,2.3729885
9.4500000,0.81552221,2.4358407
10.500000,0.79455432,2.4677717
11.550000,0.76259590,2.5189500
12.600000,0.73208293,2.5709086
13.650000,0.65998936,2.7076861
14.700000,0.62464532,2.7832360
15.750000,0.60324188,2.8321812
16.800000,0.55988897,2.9397867
17.850000,0.51451292,3.0666813
18.900000,0.48305196,3.1649719
19.950000,0.44513100,3.2970297
21.000000,0.34452132,3.7476475
