Y Field,Rel. Ill,Effective F/#
0.000000,1.000000,2.616863
1.050000,0.999904,2.616989
2.100000,0.999616,2.617365
3.150000,0.993304,2.625669
4.200000,0.992784,2.626356
5.250000,0.989020,2.631348
6.300000,0.988310,2.632293
7.350000,0.975861,2.649030
8.400000,0.968339,2.659299
9.450000,0.935832,2.705091
10.500000,0.918761,2.730107
11.550000,0.909824,2.743483
12.600000,0.895122,2.765922
13.650000,0.874240,2.798760
14.700000,0.845006,2.846761
15.750000,0.770878,2.980493
16.800000,0.754810,3.012050
17.850000,0.714872,3.095044
18.900000,0.648331,3.249995
19.950000,0.607764,3.356707
21.000000,0.566069,3.478134
