Y Field,Rel. Ill,Effective F/#
0.000000,1.000000,1.883539
1.050000,0.999695,1.883826
2.100000,0.998780,1.884688
3.150000,0.997261,1.886123
4.200000,0.995145,1.888128
5.250000,0.992444,1.890695
6.300000,0.989176,1.893816
7.350000,0.985360,1.897479
8.400000,0.981019,1.901673
9.450000,0.976180,1.906381
10.500000,0.967216,1.915194
11.550000,0.960398,1.921980
12.600000,0.949253,1.933230
13.650000,0.917373,1.966534
14.700000,0.894001,1.992074
15.750000,0.877321,2.010922
16.800000,0.844752,2.049321
17.850000,0.801600,2.103758
18.900000,0.771440,2.144487
19.950000,0.699914,2.251398
21.000000,0.658863,2.320475
