Y Field,Rel. Ill,Effective F/#
0.00000000,1.0000000,2.8891168
1.0500000,0.99881962,2.8908235
2.1000000,0.99528763,2.8959483
3.1500000,0.98943123,2.9045061
4.2000000,0.98129549,2.9165216
5.2500000,0.96568361,2.9400023
6.3000000,0.95324323,2.9591245
7.3500000,0.93065669,2.9948174
8.4000000,0.91434801,3.0214078
9.4500000,0.88655866,3.0683957
10.500000,0.84899801,3.1355358
11.550000,0.79838201,3.2334022
12.600000,0.76065961,3.3126071
13.650000,0.70857056,3.4322076
14.700000,0.67648148,3.5126683
15.750000,0.62780287,3.6463089
16.800000,0.58420128,3.7799308
17.850000,0.50495965,4.0657134
18.900000,0.46712824,4.2271440
19.950000,0.43311427,4.3899933
21.000000,0.33401277,4.9990049
