Y Field,Rel. Ill,Effective F/#
0.000000,1.000000,4.732403
1.500000,0.998503,4.735949
3.000000,0.994024,4.746607
4.500000,0.986599,4.764433
6.000000,0.976290,4.789524
7.500000,0.963179,4.822011
9.000000,0.947373,4.862069
10.500000,0.929001,4.909911
12.000000,0.908211,4.965789
13.500000,0.885172,5.029998
15.000000,0.860069,5.102876
16.500000,0.833079,5.184877
18.000000,0.804468,5.276274
19.500000,0.774434,5.377613
21.000000,0.743211,5.489410
22.500000,0.707193,5.627463
24.000000,0.644040,5.896918
25.500000,0.570749,6.264108
27.000000,0.491562,6.749824
28.500000,0.415744,7.339539
30.000000,0.331591,8.218269
