Y Field,Rel. Ill,Effective F/#
0.00000000,1.0000000,3.4924935
1.2500000,0.99931800,3.4936850
2.5000000,0.99727588,3.4972602
3.7500000,0.99388536,3.5032204
5.0000000,0.98916601,3.5115674
6.2500000,0.98314539,3.5223031
7.5000000,0.97585916,3.5354283
8.7500000,0.96735131,3.5509413
10.000000,0.95767440,3.5688366
11.250000,0.94688997,3.5891024
12.500000,0.93506895,3.6117176
13.750000,0.92229219,3.6366486
15.000000,0.90865169,3.6638432
16.250000,0.89425076,3.6932265
17.500000,0.87920544,3.7246925
18.750000,0.86364573,3.7580953
20.000000,0.84771694,3.7932387
21.250000,0.83158068,3.8298645
22.500000,0.81541449,3.8676431
23.750000,0.79940774,3.9061726
25.000000,0.78374344,3.9450148
