Y Field,Rel. Ill,Effective F/#
0.00000000,1.0000000,3.0872257
1.0850000,0.99884721,3.0890067
2.1700000,0.99538879,3.0943684
3.2550000,0.98475600,3.1110291
4.3400000,0.97683662,3.1236144
5.4250000,0.96490919,3.1428609
6.5100000,0.94215402,3.1805881
7.5950000,0.90638576,3.2427379
8.6800000,0.87175604,3.3065181
9.7650000,0.84433899,3.3597732
10.850000,0.81345711,3.4229539
11.935000,0.76880395,3.5209559
13.020000,0.71847249,3.6421960
14.105000,0.63632236,3.8701678
15.190000,0.60503846,3.9689616
16.275000,0.54828742,4.1693105
17.360000,0.45235403,4.5901741
18.445000,0.41363990,4.8001761
19.530000,0.35637184,5.1715020
20.615000,0.27812976,5.8538914
21.700000,0.24021428,6.2989618
