Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,"",Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,65.1199999999998,7,"1.88,39.2",25.11,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,282.412,0.1,"",23.91,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,32.71,6.73,"1.79,44.2",21.48,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,47.5300000000001,1.52,"",19.875,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,69.3000000000001,1.5,"1.74,27.8",19.84,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,24.894,8.79,"",17.345,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,Inf,12.2,"",16.63,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,-35.46,1.5,"1.80,25.5",16.46,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,79.3400000000001,0,"",18.465,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,79.3400000000001,9.43,"1.69,49.2",18.465,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,-50,0.1,"",19.585,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,95.4999999999998,10.19,"2.00,25.4",22.275,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Standard,,-119.98,1.17,"",22.71,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,Standard,,165.21,11.13,"1.88,39.2",23.075,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,Standard,,-43.8060000000001,0,"",23.07,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,Standard,,-43.8060000000001,1.5,"1.72,29.5",23.07,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,Standard,,49.5,2.32,"",22.22,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,Standard,,85.674,7.135,"2.00,25.4",22.215,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Standard,,-199.67,0,"",22.2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,Standard,,-199.67,15.13,"1.49,70.4",22.2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,Standard,,-28.42,0,"",21.92,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,Standard,,-28.42,3.14,"1.74,28.3",21.92,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,Standard,,Inf,16.89,"",23.655,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,Standard,,Inf,Inf,"",21.6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
