Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,"",Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,47.1839999999999,10.12,"1.75,51.6",30.495,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,213.013,0.25,"",30.495,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,35.84,7,"1.67,57.1",25.655,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,63.648,3.46,"",25.655,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,132.315,3.2,"1.67,29.2",24.2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,22.892,15.113,"",18.58,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,Inf,7.857,"",17.4405,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,-30.495,2.9,"1.65,33.7",17.095,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,77.2100000000001,9.2,"1.78,44.5",19.14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,-40.7880000000001,0.73,"",19.14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,134.035,4,"1.81,39.7",17.94,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,-576.773999999999,0.44,"",17.54,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Standard,,155.75,3.3,"1.71,53.9",17.06,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,Standard,,463.97,43.04,"",16.475,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,Standard,,Inf,Inf,"",21.6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
