Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,"",Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,73.2030000000002,8.141,"1.77,49.6",30.4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,3101.022,0.4,"",30.4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,41.863,7.398,"1.74,49.2",26.065,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,101.422,4.5,"",25.305,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,312.179,1.8,"1.73,28.3",23.79,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,35.3369999999999,7,"",20.79,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,52.7409999999999,5,"1.77,49.6",20.24,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,426.864,1.6125,"",20.24,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,551.865,1.8,"1.81,33.3",17.85,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,32.423,10.4271,"",16.83,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,Inf,6.487,"",15.473,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,-39.8980000000001,1.8,"1.55,45.8",15.89,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Standard,,32.185,8.833,"1.79,43.9",17.77,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,Standard,,-52.239,0.465,"",17.85,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,Even Asphere,,159.245,0.13,"1.52,52.0",17.85,0,0,-3.276271e-06,-1.057203e-08,5.094887e-11,-1.935791e-13,2.319653e-16,0,0
16,Standard,,273.038,4.568,"1.77,49.6",17.85,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,Standard,,-72.483,1.8,"1.65,33.8",17.85,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,Standard,,-300.832,37.3,"",17.85,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Standard,,Inf,2.5,"1.52,64.2",21.93,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,Standard,,Inf,0.507836,"",22.03,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,Standard,,Inf,Inf,"",21.6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
