Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,"",Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,-202.16,3.4125,"1.70,48.5",18.91,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,-113.085,0.098,"",18.91,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,63.56,1.463,"1.52,64.0",15.835,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,17.304,12.117,"",13.02,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,-34.122,3.402,"1.70,41.1",10.36,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,-37.8700000000001,0.1015,"",12.435,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,37.5199999999999,3.36,"1.70,48.0",12.445,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,554.049999999999,1.4665,"",12.445,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,46.655,10.115,"1.77,49.2",12.445,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,4343.5,1.8435,"",12.445,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,Inf,3.55,"",10.5175,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,-135.695,0.9765,"1.76,26.5",11.145,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Standard,,29.939,3.1675,"",9.62,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,Standard,,-40.95,0.98,"1.81,25.4",11.145,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,Standard,,488.599999999999,4.291,"1.77,49.2",11.145,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,Standard,,-24.462,0.1015,"",11.145,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,Standard,,68.95,2.8945,"1.81,40.8",13.15,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,Standard,,-114.73,37.96,"",13.15,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Standard,,Inf,Inf,"",21.6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
