Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,,Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,142.6758,2.5,BACD2,11.43,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,13.6359,7.22,,9.29,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,26.8698,4,LAC10,9.095,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,-305.586,5.32,,8.92,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,45.5824,5.5,BACED1,8.58,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,-26.9377,2.15,,8.4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,Inf,2.63,,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,-17.7587,1.5,FDS3,6.87,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,51.0604,1.31,,6.98,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,-34.5463,2.46,LAC10,7.02,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,-16.8112,0.2,,7.43,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,-90.364,2.2,NBFD5,7.655,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Standard,,-28.3558,39.6017,,7.955,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,Standard,,Inf,Inf,,21.0923522728947,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
