Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,,Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,157.3035,1.9,FDS9,26.56,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,59.0231,7.9,BACED4,25.34,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,4807.9692,0.1,,25.105,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,49.8481,5.4,LAC10,24.065,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,136.1973,35.882,,23.655,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,65.6172,1.2,TAF4,16.31,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,17.8072,7.8,,12.98,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,-68.2702,1.1,TAF4,12.495,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,33.2828,2.3,FDS9,11.835,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,54.4894,1.70433,,11.62,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,33.7748,4,FD11,11.365,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,-68.0717,1,,11.125,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Standard,,-43.1432,1,TAF1,10.79,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,Standard,,80.1552,1.697,,10.36,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,Standard,,133.2336,3.6,FC5,9.885,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,Standard,,-63.0384,0.1,,9.87,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,Standard,,59.0801,4,FC5,9.775,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,Standard,,-326.5275,1,,9.83,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Standard,,Inf,1.2,,10.4726853069643,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,Standard,,30.54,1.3,FD6,9.91,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,Standard,,16.0172,8,BACD15,9.525,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,Standard,,-302.461,13.1625,,9.255,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,Standard,,-69.4024,1.2,TAF2,8.96,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,Standard,,30.2613,1.2,,9.215,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,Standard,,30.5513,2.8,FDS9,9.88,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,Standard,,56.3226,1.09531,,9.995,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,Standard,,188.5058,6.8,FC5,10.555,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,Standard,,-24.0846,0.1,,12.055,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,Standard,,46.2928,4.8,BSC7,11.875,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,Standard,,-88.6234,2.2,,11.65,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,Standard,,-26.7176,2,NBFD10,11.575,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,Standard,,-240.8056,65.6943,,12.045,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,Standard,,Inf,7.63658120521009,,10.9729106510324,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,Standard,,Inf,Inf,,11.1610215703434,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
