Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,"",Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,47.8439999999999,5.4945,"1.52,64.1",19.53,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,525.5145,0.999,"",19.53,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,32.886,5.4945,"1.52,64.1",18.39,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,101.3715,13.7025,"",18.39,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,607.621500000001,1.998,"1.76,27.1",12.87,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,23.976,3.7,"",10.74,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,Inf,27.299,"",10.599,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,69.2820000000001,2.997,"1.81,25.4",13.92,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,282.528,59.13,"",13.92,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,Inf,Inf,"",21.6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
