Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,"",Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Even Asphere,,186.438,1.3,"1.62,58.2",11.905,90,0,5.62163e-05,-5.09587e-07,3.57447e-09,-9.66253e-12,0,0,0
2,Even Asphere,,25.349,0.8,"",11.31,-0.242108,0,5.17372e-05,-5.10348e-07,3.41779e-09,-9.38475e-12,0,0,0
3,Standard,,20.645,5.5,"1.67,32.2",11.38,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,-80.9389999999997,3,"",11.38,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,-28.504,1.1,"1.90,37.4",11.07,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,16.6,0.01,"1.51,42.8",11.78,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,16.6,10.9,"1.67,32.2",11.78,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,-16.6,0.01,"1.51,42.8",12.08,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,-16.6,1.2,"1.95,0.0",12.08,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,Inf,0.6,"",12.715,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,52.835,9.3,"1.52,59.0",14.49,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,-22.731,0.01,"1.51,42.8",14.49,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Standard,,-22.731,1.5,"1.95,32.3",14.49,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,Standard,,221.22,1.8,"",16.66,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,Standard,,550.551000000001,11.93,"1.62,36.3",20.235,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,Standard,,-25.66,11.42,"",20.235,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,Standard,,Inf,Inf,"",21.7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
