Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,"",Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,206.778,2,"1.65,33.8",26.16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,37.927,0.2,"",23.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,36.117,10.5,"2.00,25.5",23.64,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,Inf,0.1,"",23.64,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Even Asphere,,59.6249999999999,3,"1.68,31.3",19.75,-1,0,-3.638351e-06,-3.19132e-09,-4.204817e-12,6.048832e-15,0,0,0
6,Even Asphere,,25.094,10.781,"",16.47,-1,0,8.780333e-06,6.142542e-09,1.134598e-11,-1.127929e-14,0,0,0
7,Standard,,-39.174,2,"1.73,28.3",16.33,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,29.583,12.45,"1.70,55.5",19.54,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,-48.4310000000001,0.1,"",19.54,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,50,7.4,"1.88,40.8",19.52,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,-131.895,0.6,"",19.52,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,Inf,2.00178,"",18.1605,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Even Asphere,,38,2.5,"1.68,31.3",17.035,-1,0,-5.688391e-05,2.633654e-07,-9.029458e-10,1.808817e-12,-1.590491e-15,0,0
14,Even Asphere,,18.133,18.32783,"",15.05,-1,0,-5.606567e-05,3.230809e-07,-1.207755e-09,2.733286e-12,-2.838987e-15,0,0
15,Even Asphere,,65.2259999999999,7.5,"1.69,52.7",16.47,-1,0,-5.079978e-07,-1.413043e-09,1.094572e-11,-1.56112e-14,0,0,0
16,Even Asphere,,-36.632,7.539,"",16.47,-1,0,2.189271e-06,-5.682527e-09,1.737121e-11,-2.077513e-14,0,0,0
17,Standard,,-123.03,1.5,"1.57,56.0",16.46,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,Standard,,50,19.5,"",16.46,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Standard,,Inf,2.5,"1.52,64.2",21.82,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,Standard,,Inf,1.02158,"",21.82,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,Standard,,Inf,Inf,"",21.7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
