Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,915.708576893972,130.5858233078,S-BSM9,404,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,4971.35432267324,7.28384871228,,403,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,608.810835661975,42.33133695335,S-TIH10,365,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,354.444973869944,211.3876868789,S-BSM18,307,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,3092.14946711094,40.65829979081,,307,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,Inf,140.7670808327,S-TIL1,271,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,-544.16010457632,21.14658733882,S-TIL1,271,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,358.573605755791,140.8665865452,,197.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,Inf,194.9948514697,,102.547713086,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,Inf,66.75043903685,,142.3641949427,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,959.01245716647,141.129998714,S-LAH64,184,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,8312.91707726638,349.392543316,,184,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Standard,,Inf,Inf,,190.7423631498,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
