Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,44.4693615523553,9.041832443073,S-LAL58,25.06200253348,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,238.599682339097,0.4793822149554,,24.64230392646,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,34.2668444505577,7.952965280867,S-LAH65V,21.22475812644,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,66.7980447826135,1.678504357837,,21.22475812644,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,105.55165443266,3.276415438999,S-TIH11,19.00635120362,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,22.5054670863074,8.484370723,,15.2890206843,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,Inf,20.04058793542,,12.83617912784,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,-25.3586035348327,2.49516718273,S-NBM51,13.73014014394,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,-119.10082022312,2.038297348387,,15.46889151588,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,-73.8326662609085,5.064983531073,S-LAL18,16.1883748422,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,-31.2339732941306,0.468675086377,,16.1883748422,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,88.143923129962,5.132541660131,S-LAM2,17.0877290001,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Standard,,-140.184866516084,37.35933080265,,17.0877290001,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,Standard,,Inf,Inf,,21.189646188,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
