Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,"",Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,23.8296,4.8768,"1.72,38.0",15.98,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,70.7159999999999,0.0984,"",15.98,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,41.0015999999999,1.464,"1.62,57.1",13.87,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,9.97679999999996,3.7368,"",8.545,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,32.2488,1.464,"1.71,54.0",9.84,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,11.0736,3.9408,"",7.11,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,20.2008,8.9064,"1.61,55.0",6.42,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,-43.9751999999999,0.681,"",6.42,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,Inf,1.7862,"",6.0115,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,-108.6696,6.0864,"1.76,27.1",6.49,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,-9.83520000000003,1.3176,"1.81,25.4",7.99,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,57.0720000000001,1.2,"",7.99,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Standard,,-55.3487999999999,2.4384,"1.62,63.4",7.99,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,Standard,,-14.8848,0.1464,"",7.99,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,Standard,,953.1336,2.3424,"1.62,63.4",10.18,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,Standard,,-27.9072,36.7632,"",10.18,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,Standard,,Inf,Inf,"",21.6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
