Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,"",Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,443.373,14.5,"1.50,82.3",80.35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,-745.662999999999,0.5,"",80.35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,235.41,21,"1.50,82.3",77.43,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,-599.816,6.85,"",77.43,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,-527.848,6,"1.75,35.2",75.77,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,473.787000000001,1.7,"",75.77,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,176.9,15,"1.50,82.3",71.6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,558.188999999999,102.701,"",71.6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,749.671999999997,8,"1.80,28.6",38.89,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,-189.496,3.65,"1.51,54.6",38.06,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,125.271,12,"",33.89,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,-148.765,4.8,"1.46,65.8",33.06,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Standard,,97.985,27.388,"",33.06,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,Standard,,Inf,1,"",30.146,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,Standard,,-1754.216,1.5,"1.69,31.1",32.85,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,Standard,,110,7.75,"1.69,53.8",32.85,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,Standard,,-317.94,2,"",32.85,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,Standard,,169.454,2.4,"1.70,30.1",32.22,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Standard,,113.525,8,"1.70,55.6",31.39,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,Standard,,-254.06,112.223,"",31.39,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,Standard,,Inf,Inf,"",21.6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
