Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,"",Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,33.177,1.7,"1.72,50.3",16.145,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,16.693,7.4,"",13.275,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,-113.68,1.2,"1.72,50.3",13.275,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,49.947,0.4,"",13.59,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,28.363,3.6,"1.76,31.7",13.315,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,130.697,23.536,"",13.315,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,60.9179999999998,2.5,"1.62,60.3",10.14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,-66.7819999999999,0.1,"",10.14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,18.801,4.1,"1.65,58.5",9.8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,-174.777,1.1,"1.65,38.2",9.8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,45.7329999999999,1.55,"",9.8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,Inf,1.55,"",7.878,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Standard,,-70.6420000000002,2.8,"1.73,28.3",8.3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,Standard,,19.17,2.4,"",8.3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,Standard,,90.7080000000004,2.6,"1.62,36.4",8.23,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,Standard,,-26.355,45.45,"",8.23,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,Standard,,Inf,Inf,"",21.6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
