Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,,Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,18.7939326686,4.63296,LAK12,10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,-116.0347190604,0.76454,SF8,10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,75.37091987,0.08128,,8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,9.7486087222,2.77876,BAF10,6.2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,15.372511038,1.14046,F4,5.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,6.4338002388,2.84734,,4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,Inf,3.048,,2.56444960421594,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,-8.8111839524,0.91694,SF5,4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,32.0585636704,3.91922,LAK11,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,-12.5829783138,0.08128,,6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,54.4596912582,2.413,LAF2,7.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,-21.6428084542,14.7172952977729,,7.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Standard,,Inf,Inf,,9.19472941677574,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
