Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,,Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,200.562632000012,1.499936,748523,30.4614969779127,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,16.4185840000004,12.499872,,22.0637245698369,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,43.9080879999974,3.499952,713539,21.3910324268525,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,22.3976559999979,16.499904,595355,18.6497121820198,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,-209.084208000007,0.19988,,17.0131083305751,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,28.542104,1.499936,651585,14.368994671378,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,15.0958800000001,4.999888,,12.204435962694,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,32.3025840000023,2.499944,748523,11.9931149050487,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,12.620864,17.438656,620362,10.4109974203126,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,33.1238399999963,0.19988,,7.76339358249348,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,22.2368399999989,1.999864,517641,7.64788492512022,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,-149.94982400001,1.85,,7.53750860616735,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Standard,,Inf,1.85,,6.67903720043592,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,Standard,,18.3381919999999,2.999872,517641,8.30390903507429,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,Standard,,-62.517144000011,0.999856,797453,8.33088198313357,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,Standard,,22.8162639999998,1.699968,,8.55952433164352,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,Standard,,121.736192000004,0.69996,804339,8.76085756660647,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,Standard,,19.3898799999985,5.19992,517641,9.47580620120338,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Standard,,-20.696016000002,0.19988,,9.63844292582366,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,Standard,,89.6492960000282,4.49996,517641,11.0969741571504,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,Standard,,-33.5722399999999,37.644,,11.5056751813039,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,Standard,,Inf,Inf,,17.9366782822254,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
