Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,"",Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,Inf,-90,"",67.499999999754,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Paraxial,,Inf,358.413297772742,"",71.0540794323965,Inf,392,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,Inf,3.32,"1.85,24.8",15.14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,-58.256,3.22,"",15.14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,-56.5949999999999,1.3,"1.77,49.6",14.92,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,68.5169999999998,6.43,"1.60,38.0",14.92,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,-42.3220000000001,1.3,"2.00,29.1",14.92,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,-351.582,3.55,"",14.92,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,-61.01,9.54,"1.52,52.4",15.18,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,-20.182,1.65,"1.95,32.3",16.06,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,-73.9110000000001,2.85,"",18.33,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,-70.983,7.36,"1.64,34.5",19.29,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Standard,,-28.545,0,"",20.56,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,Standard,,Inf,13.48,"",15.3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,Standard,,Inf,Inf,"",21.64,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
