Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,,Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Even Asphere,,2.34682,0.895907,COC,1.39150165610087,-0.092277,0,0.00284286,-0.00119964,0.00160903,-0.00107331,0,0,0
2,Even Asphere,,16.88371,0.448032,,1.09952898780743,165.039004,0,-0.000131103,-0.00995622,0.00211392,-0.00163538,0,0,0
3,Standard,,Inf,0.819316,,0.556772203004343,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Even Asphere,,-1.48051,1.207942,COC,0.870322291576882,0.847783,0,-0.00052152,-0.132219,0.113038,0.0403799,0,0,0
5,Even Asphere,,-0.9733,0.086856,,1.31265082839108,-0.828542,0,0.0463286,-0.03379,-0.00421514,0.00714404,0,0,0
6,Even Asphere,,5.14367,0.914825,COC,1.77910523565666,-37.456116,0,-0.0580697,0.0150954,0.000199446,-0.000508825,1.15554e-05,0,0
7,Even Asphere,,1.44082,0.345137,,2.16064846328333,-7.442151,0,-0.0549844,0.00904581,-0.0013401,0.000192781,-1.92658e-05,0,0
8,Standard,,Inf,0.43426,BK7,2.25246975696932,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,Inf,0.837893243297409,,2.32151322469568,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,Inf,Inf,,2.52662789745857,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
