Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,inf,inf,,inf,0,,,,,,,,
1,Standard,,inf,1.7,,25.5,0,,,,,,,,
2,Standard,,62.2229999999998,1.53,"1.60,60.6",21.0,0,,,,,,,,
3,Standard,,26.747,6.75,"1.60,60.6",18.075,0,,,,,,,,
4,Standard,,277.138,2.79,"1.77,49.6",17.945,0,,,,,,,,
5,Standard,,-158.852,7.05,"1.77,49.6",17.62,0,,,,,,,,
6,Standard,,72.3979999999999,1.13,"1.49,70.2",11.72,0,,,,,,,,
7,Standard,,19.53,10.06,"1.49,70.2",10.27,0,,,,,,,,
8,Standard,,22.447,3.4,"1.91,35.3",6.995,0,,,,,,,,
9,Standard,,-42.5950000000001,0.72,"1.91,35.3",6.845,0,,,,,,,,
10,Standard,,29.265,3.28,"1.74,32.3",6.62,0,,,,,,,,
11,Standard,,inf,4.09,"1.74,32.3",6.555,0,,,,,,,,
12,Standard,,105.862,1.59,"1.73,54.7",6.75,0,,,,,,,,
13,Standard,,-105.862,3.57,"1.73,54.7",6.75,0,,,,,,,,
14,Standard,,-13.728,1.45,"1.74,28.3",6.41,0,,,,,,,,
15,Standard,,-251.595,4.39,"1.74,28.3",7.59,0,,,,,,,,
16,Standard,,-18.429,0.8,"1.70,55.5",8.75,0,,,,,,,,
17,Even Asphere,,-64.9830000000002,3.21,"1.58,59.4",9.735,0,0.0,-2.52195e-05,4.30341e-08,-6.12181e-10,1.94445e-12,0.0,0.0,0.0
18,Standard,,-19.807,0.0,"1.58,59.4",10.25,0,,,,,,,,
19,Standard,,inf,38.28,"1.58,59.4",11.89,0,,,,,,,,
20,Standard,,inf,inf,"1.58,59.4",21.64,0,,,,,,,,
