Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,inf,inf,,inf,0,,,,,,,,
1,Standard,,61.8499999999999,3.08,"1.56,60.8",15.745,0,,,,,,,,
2,Standard,,525.959999999999,0.2,"1.56,60.8",15.745,0,,,,,,,,
3,Standard,,43.7039999999999,2.0,"1.66,57.3",12.98,0,,,,,,,,
4,Standard,,10.686,13.51,"1.66,57.3",9.63,0,,,,,,,,
5,Standard,,27.96,5.0,"1.72,38.0",8.35,0,,,,,,,,
6,Standard,,-88.6400000000002,1.38,"1.72,38.0",8.35,0,,,,,,,,
7,Standard,,-51.1000000000001,4.0,"1.61,58.6",8.4,0,,,,,,,,
8,Standard,,-19.674,0.22,"1.61,58.6",8.4,0,,,,,,,,
9,Standard,,inf,4.0,"1.61,58.6",7.2745,0,,,,,,,,
10,Standard,,-15.412,1.5,"1.78,26.1",6.695,0,,,,,,,,
11,Standard,,56.41,0.85,"1.78,26.1",7.29,0,,,,,,,,
12,Standard,,-71.0279999999998,2.6,"1.72,50.3",7.29,0,,,,,,,,
13,Standard,,-17.375,0.2,"1.72,50.3",7.75,0,,,,,,,,
14,Standard,,-239.3,2.46,"1.70,55.5",8.42,0,,,,,,,,
15,Standard,,-26.573,39.04,"1.70,55.5",8.42,0,,,,,,,,
16,Standard,,inf,inf,"1.70,55.5",21.6,0,,,,,,,,
