Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,inf,inf,,inf,0,,,,,,,,
1,Standard,,inf,6.0,N-BK7,75.0,0,,,,,,,,
2,Standard,,inf,1.5,N-BK7,75.0,0,,,,,,,,
3,Standard,,231.902,17.1,PFK80,72.0,0,,,,,,,,
4,Standard,,-822.901,43.59,PFK80,72.0,0,,,,,,,,
5,Standard,,150.427,13.97,PFK80,59.0,0,,,,,,,,
6,Standard,,2167.786,2.59,PFK80,59.0,0,,,,,,,,
7,Standard,,-949.347,5.9,TAFD5F,58.0,0,,,,,,,,
8,Standard,,242.065,40.72,TAFD5F,56.0,0,,,,,,,,
9,Standard,,114.154,13.86,CAF2,49.5,0,,,,,,,,
10,Standard,,4153.906,0.5,CAF2,49.5,0,,,,,,,,
11,Standard,,83.069,5.0,N-BK7,44.0,0,,,,,,,,
12,Standard,,64.68,45.86,N-BK7,41.0,0,,,,,,,,
13,Standard,,543.282,4.65,SFLD6,33.0,0,,,,,,,,
14,Standard,,-253.137,3.3,SFLD6,33.0,0,,,,,,,,
15,Standard,,130.218,98.91,TAFD5F,31.0,0,,,,,,,,
16,Standard,,inf,7.02,TAFD5F,20.3829211111237,0,,,,,,,,
17,Standard,,138.0,2.0,SFLDN3,21.0,0,,,,,,,,
18,Standard,,65.924,4.66,SFLDN3,21.0,0,,,,,,,,
19,Standard,,-335.894,12.07,N-SK14,21.0,0,,,,,,,,
20,Standard,,102.528,2.75,SFLDN3,19.5,0,,,,,,,,
21,Standard,,-341.854,1.65,SFLDN3,19.5,0,,,,,,,,
22,Standard,,47.129,3.77,N-SK14,16.0,0,,,,,,,,
23,Standard,,-149.43,1.6,J-LASF015,16.0,0,,,,,,,,
24,Standard,,105.15,3.52,J-LASF015,17.0,0,,,,,,,,
25,Standard,,121.151,2.8,LAFN4,18.0,0,,,,,,,,
26,Standard,,-888.536,6.96,LAFN4,18.0,0,,,,,,,,
27,Standard,,79.378,4.27,LAF70,20.0,0,,,,,,,,
28,Standard,,-194.536,1.9,LAF70,20.0,0,,,,,,,,
29,Standard,,218.38,12.0,SFLDN3,20.0,0,,,,,,,,
30,Standard,,inf,2.0,N-BK7,25.0,0,,,,,,,,
31,Standard,,inf,64.77,N-BK7,25.0,0,,,,,,,,
32,Standard,,inf,38.7312410919172,N-BK7,21.2753673978868,0,,,,,,,,
33,Standard,,inf,inf,N-BK7,21.6506259721268,0,,,,,,,,
