Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,inf,inf,,inf,0,,,,,,,,
1,Standard,,230.594,19.5,S-FPL51,75.0,0,,,,,,,,
2,Standard,,-485.236,25.0,S-FPL51,75.0,0,,,,,,,,
3,Standard,,116.456,18.5,S-FPL51,60.0,0,,,,,,,,
4,Standard,,16559.44,3.16,S-FPL51,60.0,0,,,,,,,,
5,Standard,,-598.951,5.0,TAFD5F,60.0,0,,,,,,,,
6,Standard,,180.809,5.0,TAFD5F,60.0,0,,,,,,,,
7,Standard,,101.603,18.0,CAF2,50.0,0,,,,,,,,
8,Standard,,-1247.77,0.3,CAF2,50.0,0,,,,,,,,
9,Standard,,61.716,8.0,S-BSL7,45.0,0,,,,,,,,
10,Standard,,49.261,32.01,S-BSL7,38.0,0,,,,,,,,
11,Standard,,554.747,5.5,S-TIH6,35.0,0,,,,,,,,
12,Standard,,-143.642,3.2,S-TIH6,35.0,0,,,,,,,,
13,Standard,,113.429,80.43,S-LAH58,34.224750366422,0,,,,,,,,
14,Standard,,inf,3.0,S-LAH58,19.1906524930297,0,,,,,,,,
15,Standard,,147.302,2.0,S-NPH53,18.6780993870316,0,,,,,,,,
16,Standard,,48.444,7.5,S-NPH53,18.1367310007991,0,,,,,,,,
17,Standard,,-261.799,2.5,S-LAH66,17.7605360240888,0,,,,,,,,
18,Standard,,94.352,4.8,S-NPH53,17.3054666848477,0,,,,,,,,
19,Standard,,-180.338,2.0,S-NPH53,17.0379511888635,0,,,,,,,,
20,Standard,,37.593,7.0,S-LAL14,16.1807620544546,0,,,,,,,,
21,Standard,,-125.641,2.0,S-LAH66,16.4265587436548,0,,,,,,,,
22,Standard,,90.522,3.0,S-LAH66,16.9835709394993,0,,,,,,,,
23,Standard,,71.238,7.0,S-FSL5,18.5205678443938,0,,,,,,,,
24,Standard,,-100.0,0.3,S-FSL5,18.9370510299635,0,,,,,,,,
25,Standard,,56.853,5.5,S-LAH65,19.6792922567909,0,,,,,,,,
26,Standard,,2177.114,0.98,S-LAH65,19.483884959495,0,,,,,,,,
27,Standard,,-288.865,2.5,S-LAH58,19.444599127807,0,,,,,,,,
28,Standard,,127.69,10.0,S-LAH58,19.197216578736,0,,,,,,,,
29,Standard,,inf,10.0,S-LAH58,19.4921084459577,0,,,,,,,,
30,Standard,,inf,2.0,S-BSL7,19.837064687171,0,,,,,,,,
31,Standard,,inf,52.9454177075787,S-BSL7,19.8823815347758,0,,,,,,,,
32,Standard,,inf,inf,S-BSL7,21.7110899104678,0,,,,,,,,
