Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416612,130819.68004041509,nan,12861.682062363132,0,,,,,,,,
1,Standard,,45.23,1.5,"1.65,33.8",20.02,0,,,,,,,,
2,Standard,,33.78,0.97,"1.65,33.8",19.06,0,,,,,,,,
3,Standard,,38.58,6.5,"1.73,54.7",19.06,0,,,,,,,,
4,Standard,,-647.939999999998,0.1,"1.73,54.7",19.06,0,,,,,,,,
5,Standard,,24.52,5.72,"1.88,39.2",16.56,0,,,,,,,,
6,Standard,,47.8799999999999,1.56,"1.88,39.2",15.56,0,,,,,,,,
7,Standard,,70.55,1.0,"1.72,29.5",14.99,0,,,,,,,,
8,Standard,,15.44,8.98,"1.72,29.5",12.29,0,,,,,,,,
9,Standard,,7239458.233416612,6.38,"1.72,29.5",9.7175,0,,,,,,,,
10,Standard,,-23.04,1.0,"1.70,30.1",12.06,0,,,,,,,,
11,Standard,,34.11,7.61,"1.70,30.1",14.34,0,,,,,,,,
12,Standard,,-33.88,0.1,"1.88,39.2",14.34,0,,,,,,,,
13,Standard,,71.02,3.63,"1.91,35.3",14.5,0,,,,,,,,
14,Standard,,-112.54,1.0,"1.91,35.3",14.5,0,,,,,,,,
15,Standard,,159.39,0.7,"1.73,54.7",12.91,0,,,,,,,,
16,Standard,,22.05,7.86,"1.73,54.7",12.06,0,,,,,,,,
17,Standard,,29.01,10.0,"1.50,81.6",12.84,0,,,,,,,,
18,Standard,,-29.92,3.48,"1.50,81.6",12.84,0,,,,,,,,
19,Standard,,-26.39,1.23,"1.57,42.8",12.66,0,,,,,,,,
20,Standard,,-62.6400000000001,13.67,"1.57,42.8",12.89,0,,,,,,,,
21,Standard,,7239458.233416612,2.0,"1.52,64.2",14.815,0,,,,,,,,
22,Standard,,7239458.233416612,1.56781847572998,"1.52,64.2",14.815,0,,,,,,,,
23,Standard,,7239458.233416612,130819.68004041509,"1.52,64.2",14.4,0,,,,,,,,
