Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416611,130819.68004041509,nan,12861.682062363132,0,,,,,,,,
1,Standard,,165.321,1.953,"1.46,65.7",23.16,0,,,,,,,,
2,Standard,,20.754,13.698,"1.46,65.7",16.85,0,,,,,,,,
3,Standard,,23.013,10.026,"1.72,29.5",12.715,0,,,,,,,,
4,Standard,,12.618,9.873,"1.72,29.5",7.435,0,,,,,,,,
5,Standard,,941.346000000001,1.287,"1.56,47.0",7.435,0,,,,,,,,
6,Standard,,7239458.233416611,1.026,"1.56,47.0",6.29,0,,,,,,,,
7,Standard,,7239458.233416611,9.162,"1.58,46.5",7.625,0,,,,,,,,
8,Standard,,-12.672,9.756,"1.58,46.5",7.625,0,,,,,,,,
9,Standard,,-24.21,13.698,"1.72,29.5",12.715,0,,,,,,,,
10,Standard,,-20.979,1.953,"1.46,65.7",16.73,0,,,,,,,,
11,Standard,,-269.037,66.06,"1.46,65.7",22.99,0,,,,,,,,
12,Standard,,7239458.233416611,130819.68004041509,"1.46,65.7",107.0,0,,,,,,,,
