Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416611,130819.68004041509,nan,12861.682062363132,0,,,,,,,,
1,Standard,,91.7299999999998,6.65,"1.47,65.6",32.675,0,,,,,,,,
2,Standard,,22.96,11.9,"1.47,65.6",20.575,0,,,,,,,,
3,Standard,,36.5200000000001,15.25,"1.68,32.0",20.625,0,,,,,,,,
4,Standard,,20.82,13.8,"1.68,32.0",12.2,0,,,,,,,,
5,Standard,,-20.24,1.0,"1.68,32.0",12.2,0,,,,,,,,
6,Standard,,164.89,2.1,"1.56,46.9",11.7,0,,,,,,,,
7,Standard,,7239458.233416611,0.65,"1.56,46.9",10.7555,0,,,,,,,,
8,Standard,,405.33,1.0,"1.59,59.2",10.775,0,,,,,,,,
9,Standard,,18.17,13.3,"1.59,59.2",11.0,0,,,,,,,,
10,Standard,,-15.23,11.25,"1.59,59.2",11.0,0,,,,,,,,
11,Standard,,-31.97,11.15,"1.67,48.1",18.5,0,,,,,,,,
12,Standard,,-23.37,3.85,"1.49,70.2",19.75,0,,,,,,,,
13,Standard,,-116.31,62.77,"1.49,70.2",28.3,0,,,,,,,,
14,Standard,,7239458.233416611,130819.68004041509,"1.49,70.2",116.0,0,,,,,,,,
