Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416612,130819.68004041509,nan,12861.682062363132,0,,,,,,,,
1,Standard,,65.8799999999999,4.75,"1.47,65.6",23.5,0,,,,,,,,
2,Standard,,16.49,8.55,"1.47,65.6",14.75,0,,,,,,,,
3,Standard,,26.23,10.95,"1.68,32.0",14.8,0,,,,,,,,
4,Standard,,14.96,9.9,"1.68,32.0",8.75,0,,,,,,,,
5,Standard,,-14.54,0.65,"1.68,32.0",8.75,0,,,,,,,,
6,Standard,,118.85,1.65,"1.56,46.9",7.875,0,,,,,,,,
7,Standard,,7239458.233416612,0.36,"1.56,46.9",7.768,0,,,,,,,,
8,Standard,,292.16,0.75,"1.59,59.2",7.8,0,,,,,,,,
9,Standard,,13.05,9.55,"1.59,59.2",8.0,0,,,,,,,,
10,Standard,,-10.94,8.1,"1.59,59.2",8.0,0,,,,,,,,
11,Standard,,-22.96,8.0,"1.67,48.1",13.25,0,,,,,,,,
12,Standard,,-16.79,2.75,"1.49,70.2",14.15,0,,,,,,,,
13,Standard,,-83.54,45.06,"1.49,70.2",20.375,0,,,,,,,,
14,Standard,,7239458.233416612,130819.68004041509,"1.49,70.2",83.5,0,,,,,,,,
