Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416611,130819.68004041509,nan,12861.682062363132,0,,,,,,,,
1,Standard,,7239458.233416611,0.0,nan,9.75,0,,,,,,,,
2,Standard,,19.655,5.15,"1.68,55.5",9.885,0,,,,,,,,
3,Standard,,7239458.233416611,3.05,"1.68,55.5",9.885,0,,,,,,,,
4,Standard,,-35.5199999999999,1.45,"1.61,37.2",8.69,0,,,,,,,,
5,Standard,,16.8175,2.445,"1.61,37.2",7.225,0,,,,,,,,
6,Standard,,7239458.233416611,1.28,"1.61,37.2",7.187,0,,,,,,,,
7,Standard,,381.775,1.195,"1.57,42.5",8.29,0,,,,,,,,
8,Standard,,16.4835,5.0,"1.57,42.5",8.66,0,,,,,,,,
9,Standard,,-24.523,0.0,"1.66,50.8",8.66,0,,,,,,,,
10,Standard,,7239458.233416611,40.27,"1.66,50.8",8.35,0,,,,,,,,
11,Standard,,7239458.233416611,130819.68004041509,"1.66,50.8",21.6,0,,,,,,,,
