Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416611,0.0,nan,61894.7140222871,0,,,,,,,,
1,Standard,,7239458.233416611,99995.0,nan,61894.7140222871,0,,,,,,,,
2,Standard,,7239458.233416611,5.0,nan,30.0,0,,,,,,,,
3,Standard,,25.8999999999991,5.12,"1.61,55.8",12.5,0,,,,,,,,
4,Standard,,-96.0983999999781,2.31,"1.61,55.8",12.0,0,,,,,,,,
5,Standard,,18.4100999999998,0.75,"1.54,47.4",9.9,0,,,,,,,,
6,Standard,,23.7801000000024,3.48,"1.56,61.1",9.9,0,,,,,,,,
7,Standard,,35.540400000005,2.9,"1.56,61.1",9.6,0,,,,,,,,
8,Standard,,7239458.233416611,2.8,"1.56,61.1",9.15,0,,,,,,,,
9,Standard,,-33.1203000000001,3.96,"1.56,61.1",10.0,0,,,,,,,,
10,Standard,,-22.7401999999994,1.57,"1.56,61.1",10.0,0,,,,,,,,
11,Standard,,-18.1398999999995,1.88,"1.54,47.4",10.0,0,,,,,,,,
12,Standard,,77.3813999999986,5.56,"1.54,47.4",12.0,0,,,,,,,,
13,Standard,,-25.3697999999973,86.508,"1.61,55.5",12.5,0,,,,,,,,
14,Standard,,7239458.233416611,130819.68004041509,"1.61,55.5",63.1328612626604,0,,,,,,,,
