Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416612,130819.68004041509,nan,12861.682062363132,0,,,,,,,,
1,Standard,,89.5300000000001,4.32,"1.52,64.2",20.51,0,,,,,,,,
2,Standard,,522.2,0.68,"1.52,64.2",19.01,0,,,,,,,,
3,Standard,,32.0,1.4,"1.70,41.1",14.07,0,,,,,,,,
4,Standard,,12.18,3.93,"1.70,41.1",10.43,0,,,,,,,,
5,Even Asphere,,23.45,1.0,"1.59,61.2",10.085,0,0.0,1.225e-05,3.9007e-07,-5.8222e-09,5.3837e-11,-1.7991e-13,0.0,0.0
6,Standard,,12.4,6.41,"1.59,61.2",8.845,0,,,,,,,,
7,Standard,,-22.3,1.0,"1.44,95.1",8.45,0,,,,,,,,
8,Standard,,64.9600000000002,2.74,"1.44,95.1",8.115,0,,,,,,,,
9,Standard,,-64.9600000000002,1.0,"1.81,33.3",7.92,0,,,,,,,,
10,Standard,,7239458.233416612,8.85,"1.81,33.3",7.45,0,,,,,,,,
11,Standard,,-13.02,1.4,"1.60,38.0",8.395,0,,,,,,,,
12,Standard,,-18.56,0.85,"1.60,38.0",9.285,0,,,,,,,,
13,Standard,,7239458.233416612,1.0,"1.60,38.0",10.55,0,,,,,,,,
14,Standard,,57.7699999999998,5.61,"1.83,42.7",11.385,0,,,,,,,,
15,Standard,,-29.22,0.15,"1.83,42.7",11.59,0,,,,,,,,
16,Standard,,-51.4800000000001,0.8,"1.74,27.8",11.36,0,,,,,,,,
17,Standard,,-192.39,0.15,"1.74,27.8",11.35,0,,,,,,,,
18,Standard,,53.25,8.55,"1.44,95.1",11.26,0,,,,,,,,
19,Standard,,-17.42,1.0,"1.44,95.1",10.905,0,,,,,,,,
20,Standard,,-26.07,0.15,"1.90,31.3",11.18,0,,,,,,,,
21,Standard,,-384.4,2.0,"1.59,61.2",10.645,0,,,,,,,,
22,Even Asphere,,-61.6999999999999,3.76,"1.59,61.2",10.54,0,0.0,2.7252e-05,-1.1008e-08,5.2478e-11,-3.6856e-13,2.1505e-16,0.0,0.0
23,Standard,,30.0,2.8,"1.49,70.5",9.87,0,,,,,,,,
24,Standard,,210.95,1.5,"1.49,70.5",9.6,0,,,,,,,,
25,Standard,,37.95,0.8,"1.81,33.3",9.535,0,,,,,,,,
26,Standard,,17.82,2.66,"1.81,33.3",9.255,0,,,,,,,,
27,Standard,,54.8800000000001,6.35,"1.55,75.5",9.51,0,,,,,,,,
28,Standard,,-17.08,1.0,"1.55,75.5",9.785,0,,,,,,,,
29,Standard,,-27.35,11.94,"1.85,23.8",10.2,0,,,,,,,,
30,Standard,,7239458.233416612,4.2,"1.52,64.2",10.69,0,,,,,,,,
31,Standard,,7239458.233416612,1.0,"1.52,64.2",10.79,0,,,,,,,,
32,Standard,,7239458.233416612,130819.68004041509,"1.52,64.2",10.82,0,,,,,,,,
