Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416612,130819.68004041509,nan,12861.682062363132,0,,,,,,,,
1,Standard,,71.8849999999999,1.2,"1.70,55.5",16.52,0,,,,,,,,
2,Standard,,15.312,7.8,"1.70,55.5",12.545,0,,,,,,,,
3,Even Asphere,,-298.152,1.57,"1.53,55.7",13.205,0,0.0,1.99678e-05,-8.24417e-08,-2.122e-11,0.0,0.0,0.0,0.0
4,Even Asphere,,93.3050000000001,1.78,"1.53,55.7",13.205,0,0.0,1.73101e-05,-1.05802e-07,-1.53034e-10,0.0,0.0,0.0,0.0
5,Standard,,26.391,2.21,"1.92,20.9",12.26,0,,,,,,,,
6,Standard,,37.81,19.973,"1.92,20.9",11.49,0,,,,,,,,
7,Standard,,21.71,2.23,"1.50,81.6",7.765,0,,,,,,,,
8,Standard,,383.239,0.25,"1.50,81.6",7.765,0,,,,,,,,
9,Standard,,31.562,3.16,"1.50,81.6",7.74,0,,,,,,,,
10,Standard,,-20.356,0.01,"1.50,81.6",7.74,0,,,,,,,,
11,Standard,,-20.356,0.89,"1.50,81.6",7.74,0,,,,,,,,
12,Standard,,103.171,1.36,"1.70,41.2",7.115,0,,,,,,,,
13,Standard,,7239458.233416612,3.41,"1.70,41.2",5.781,0,,,,,,,,
14,Even Asphere,,22.656,4.2,"1.58,59.5",6.865,0,0.0,-1.98288e-05,1.05587e-07,4.37228e-09,0.0,0.0,0.0,0.0
15,Even Asphere,,-32.267,2.51,"1.58,59.5",6.865,0,0.0,3.67654e-05,1.03408e-07,4.94217e-09,0.0,0.0,0.0,0.0
16,Standard,,21.017,1.0,"1.65,33.8",7.05,0,,,,,,,,
17,Standard,,11.988,8.661,"1.65,33.8",6.415,0,,,,,,,,
18,Standard,,-27.734,0.9,"1.83,42.7",8.855,0,,,,,,,,
19,Standard,,-393.549999999999,1.85,"1.83,42.7",10.01,0,,,,,,,,
20,Extended Asphere,,-135.797,1.5,"1.53,55.7",10.095,0,,,,,,,,
21,Extended Asphere,,-189.242,4.448,"1.53,55.7",11.31,0,,,,,,,,
22,Standard,,-99.6029999999999,4.89,"1.65,33.8",18.405,0,,,,,,,,
23,Standard,,-34.47,11.438,"1.65,33.8",19.295,0,,,,,,,,
24,Standard,,7239458.233416612,130819.68004041509,"1.65,33.8",21.7,0,,,,,,,,
