Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416611,130819.68004041509,nan,0.0,0,,,,,,,,
1,Standard,,915.708576893972,130.5858233078,S-BSM9,404.0,0,,,,,,,,
2,Standard,,4971.35432267324,7.28384871228,S-BSM9,403.0,0,,,,,,,,
3,Standard,,608.810835661975,42.33133695335,S-TIH10,365.0,0,,,,,,,,
4,Standard,,354.444973869944,211.3876868789,S-TIH10,307.0,0,,,,,,,,
5,Standard,,3092.14946711094,40.65829979081,S-BSM18,307.0,0,,,,,,,,
6,Standard,,7239458.233416611,140.7670808327,S-TIL1,271.0,0,,,,,,,,
7,Standard,,-544.16010457632,21.14658733882,S-TIL1,271.0,0,,,,,,,,
8,Standard,,358.573605755791,140.8665865452,S-TIL1,197.5,0,,,,,,,,
9,Standard,,7239458.233416611,194.9948514697,S-TIL1,102.547713086,0,,,,,,,,
10,Standard,,7239458.233416611,66.75043903685,S-TIL1,142.3641949427,0,,,,,,,,
11,Standard,,959.01245716647,141.129998714,S-LAH64,184.0,0,,,,,,,,
12,Standard,,8312.91707726638,349.392543316,S-LAH64,184.0,0,,,,,,,,
13,Standard,,7239458.233416611,130819.68004041509,S-LAH64,190.7423631498,0,,,,,,,,
