Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416612,130819.68004041509,nan,12861.682062363132,0,,,,,,,,
1,Standard,,7239458.233416612,4.5,nan,8.97749980848027,0,,,,,,,,
2,Standard,,14.1615,1.386,N-BAK1,6.3,0,,,,,,,,
3,Standard,,69.408,0.117,N-BAK1,6.3,0,,,,,,,,
4,Standard,,16.1955,2.313,N-BAK1,5.94,0,,,,,,,,
5,Standard,,-19.665,1.386,N-BAK1,5.94,0,,,,,,,,
6,Standard,,8.793,2.313,N-BALF4,4.5,0,,,,,,,,
7,Standard,,7239458.233416612,2.313,N-BALF4,4.21500049925635,0,,,,,,,,
8,Standard,,-8.793,1.386,N-BALF4,4.5,0,,,,,,,,
9,Standard,,19.665,2.313,N-BALF4,5.94,0,,,,,,,,
10,Standard,,-16.1955,0.117,N-BAK1,5.94,0,,,,,,,,
11,Standard,,-69.408,1.386,N-BAK1,6.3,0,,,,,,,,
12,Standard,,-14.1615,42.3517001144126,N-BAK1,6.3,0,,,,,,,,
13,Standard,,7239458.233416612,130819.68004041509,N-BAK1,22.6142390559048,0,,,,,,,,
