Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416611,130819.68004041509,nan,12861.682062363132,0,,,,,,,,
1,Standard,,4.7208385898,1.87198,SK16,4.5,0,,,,,,,,
2,Standard,,7.0714663498,0.00762,SK16,4.45,0,,,,,,,,
3,Standard,,3.8459209086,0.21082,SF1,3.32,0,,,,,,,,
4,Standard,,3.1015324558,2.7432,SF1,2.9,0,,,,,,,,
5,Standard,,7239458.233416611,2.54,SF1,0.953478475030377,0,,,,,,,,
6,Standard,,-3.1015324558,0.21082,SF1,2.9,0,,,,,,,,
7,Standard,,-3.8459209086,0.00762,SF1,3.2,0,,,,,,,,
8,Standard,,-7.2673170884,0.81026,SK16,4.2,0,,,,,,,,
9,Standard,,-5.7525931938,0.00762,SK16,4.4,0,,,,,,,,
10,Standard,,-6.2553872606,1.397,SK16,4.6,0,,,,,,,,
11,Standard,,-5.0865107312,19.9099178204997,SK16,4.8,0,,,,,,,,
12,Standard,,7239458.233416611,130819.68004041509,SK16,28.1879574964599,0,,,,,,,,
