Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416612,130819.68004041509,nan,12861.682062363132,0,,,,,,,,
1,Standard,,68.45,4.5,J-LAK14,23.0,0,,,,,,,,
2,Standard,,-656.97,0.2,J-LAK14,23.0,0,,,,,,,,
3,Standard,,37.35,3.5,LASF01,20.0,0,,,,,,,,
4,Standard,,70.62,0.3,LASF01,20.0,0,,,,,,,,
5,Standard,,39.68,3.5,LASF01,19.0,0,,,,,,,,
6,Standard,,67.52,1.2,LASF01,18.0,0,,,,,,,,
7,Standard,,121.84,1.8,SFLD6,18.0,0,,,,,,,,
8,Standard,,24.87,10.16884268936,SFLD6,15.0,0,,,,,,,,
9,Standard,,7239458.233416612,5.83115731064,SFLD6,11.2,0,,,,,,,,
10,Standard,,-34.06,1.8,SF15,12.0,0,,,,,,,,
11,Standard,,-78.7,3.5,SF15,13.0,0,,,,,,,,
12,Standard,,-39.02,0.2,P-LASF47,13.0,0,,,,,,,,
13,Standard,,351.98,2.5,LASF01,14.0,0,,,,,,,,
14,Standard,,-98.37,2.5,LASF01,14.0,0,,,,,,,,
15,Standard,,-1272.56,3.5,SFLD6,13.5,0,,,,,,,,
16,Standard,,-29.07,1.59,SFLD6,13.3,0,,,,,,,,
17,Standard,,34.98,3.5,LASFN7,13.2,0,,,,,,,,
18,Standard,,-77.45,1.5,LAK7,13.2,0,,,,,,,,
19,Standard,,77.58,2.5,LAK7,14.5,0,,,,,,,,
20,Standard,,66.06,4.5,J-LAK14,17.0,0,,,,,,,,
21,Standard,,-91.9,0.2,J-LAK14,17.0,0,,,,,,,,
22,Standard,,66.51,1.8,SFLD6,18.0,0,,,,,,,,
23,Standard,,31.53,6.5,SFLD6,18.0,0,,,,,,,,
24,Standard,,-199.11,42.0980385315414,E-SK14,18.0,0,,,,,,,,
25,Standard,,7239458.233416612,130819.68004041509,E-SK14,21.1735980954467,0,,,,,,,,
