Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416612,130819.68004041509,nan,12861.682062363132,0.0,,,,,,,,
1,Standard,,46.5737999999928,2.0,773494,28.291494767576,0.0,,,,,,,,
2,Standard,,24.3546000000004,10.4577,773494,22.3441073408144,0.0,,,,,,,,
3,Standard,,63.6858000000149,4.0,804339,22.3811492841974,0.0,,,,,,,,
4,Standard,,141.800099999992,3.9,804339,21.8779392086153,0.0,,,,,,,,
5,Standard,,37.9726000000036,1.7,694537,18.7312347707259,0.0,,,,,,,,
6,Even Asphere,,18.6810999999991,6.1344,694537,16.4167506729813,0.1588,0.0,-1.0093e-05,-7.9479e-08,2.418e-10,-1.353e-12,0.0,0.0,0.0
7,Standard,,109.633199999996,10.0,BK7,16.4245983610143,0.0,,,,,,,,
8,Standard,,50.371199999992,0.1,BK7,15.8127104181752,0.0,,,,,,,,
9,Standard,,28.3945999999971,10.0,840434,16.0491291130369,0.0,,,,,,,,
10,Standard,,-41.4055000000007,5.0,840434,15.5414774895038,0.0,,,,,,,,
11,Standard,,191.885699999996,5.0,589611,12.2472060816739,0.0,,,,,,,,
12,Standard,,7239458.233416612,5.0,589611,9.28833391661519,0.0,,,,,,,,
13,Standard,,-17.1387999999992,1.5,861230,10.1429603129208,0.0,,,,,,,,
14,Standard,,120.700300000002,4.5,861230,14.5,0.0,,,,,,,,
15,Even Asphere,,-35.7522000000045,0.1,796409,14.6789938286339,1.9622,0.0,2.6082e-05,4.3966e-08,-3.774e-11,-1.385e-14,0.0,0.0,0.0
16,Standard,,-367.629000000009,6.5,748523,17.4980184643869,0.0,,,,,,,,
17,Standard,,-26.6210000000028,0.05,748523,17.639865676464,0.0,,,,,,,,
18,Standard,,-61.3511000000004,5.0,713539,19.2138043344044,0.0,,,,,,,,
19,Standard,,-27.8327000000008,37.928,713539,19.3241713902118,0.0,,,,,,,,
20,Standard,,7239458.233416612,130819.68004041509,713539,21.317813582188,0.0,,,,,,,,
