Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416611,130819.68004041509,nan,12861.682062363132,0.0,,,,,,,,
1,Even Asphere,,17.947,0.641,F52R,5.32091163809623,-64.413,0.0,0.000356,1.92e-05,0.0,0.0,0.0,0.0,0.0
2,Even Asphere,,2.862,1.756,F52R,2.44992241451408,-0.178,0.0,0.00986,0.000832,-8.67e-05,0.0,0.0,0.0,0.0
3,Even Asphere,,-33.399,0.661,F52R,2.72413019355525,-102.02,0.0,-0.00184,-0.000111,0.0,0.0,0.0,0.0,0.0
4,Even Asphere,,6.623,1.647,F52R,2.22331900224864,1.418,0.0,0.000166,-5.14e-05,0.0,0.0,0.0,0.0,0.0
5,Even Asphere,,13.601,2.6,OKP4HT,1.71902354152442,-190.762,0.0,-0.000437,1.2e-05,0.0,0.0,0.0,0.0,0.0
6,Even Asphere,,-6.762,0.75,OKP4HT,1.1220313646075,27.521,0.0,-0.00392,0.0252,-0.0201,0.00999,0.0,0.0,0.0
7,Paraxial,,7239458.233416611,2.8,OKP4HT,0.64607203087135,inf,2.8,,,,,,,
8,Paraxial,,7239458.233416611,0.0,OKP4HT,2.00921438049681,inf,2.8,,,,,,,
9,Standard,,7239458.233416611,130819.68004041509,OKP4HT,2.00921438049681,0.0,,,,,,,,
