Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416612,130819.68004041509,nan,12861.682062363132,0.0,,,,,,,,
1,Standard,,7239458.233416612,-40.0,nan,7.652,0.0,,,,,,,,
2,Paraxial,,7239458.233416612,122.647390500408,nan,27.5938992124302,inf,147.0,,,,,,,
3,Standard,,-290.3757,2.64,"1.81,25.5",10.555,0.0,,,,,,,,
4,Standard,,-57.8821000000002,1.04,"1.81,25.5",10.555,0.0,,,,,,,,
5,Standard,,-324.683800000001,1.1,"1.80,46.6",10.015,0.0,,,,,,,,
6,Standard,,13.8612,8.79,"1.80,46.6",9.865,0.0,,,,,,,,
7,Standard,,-22.2537,1.1,"1.80,46.6",9.865,0.0,,,,,,,,
8,Standard,,42.2116000000001,0.25,"1.83,42.7",10.2,0.0,,,,,,,,
9,Standard,,20.6554,8.15,"1.61,44.3",11.045,0.0,,,,,,,,
10,Standard,,-28.9825,1.1,"1.61,44.3",11.045,0.0,,,,,,,,
11,Standard,,157.3317,11.88,"1.85,23.8",11.045,0.0,,,,,,,,
12,Standard,,7239458.233416612,4.0,"1.52,64.1",14.54,0.0,,,,,,,,
13,Standard,,7239458.233416612,0.8,"1.52,64.1",14.54,0.0,,,,,,,,
14,Standard,,7239458.233416612,130819.68004041509,"1.52,64.1",10.82,0.0,,,,,,,,
