Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416611,130819.68004041509,nan,12861.682062363132,0,,,,,,,,
1,Standard,,1200.5127,5.0,"1.52,63.9",72.95,0,,,,,,,,
2,Standard,,1199.6476,1.0,"1.52,63.9",72.95,0,,,,,,,,
3,Standard,,225.0,16.4,"1.43,95.2",72.28,0,,,,,,,,
4,Standard,,-1939.6468,80.0,"1.43,95.2",72.28,0,,,,,,,,
5,Standard,,161.4252,16.6,"1.43,95.2",57.12,0,,,,,,,,
6,Standard,,-625.3189,2.15,"1.43,95.2",57.12,0,,,,,,,,
7,Standard,,-566.285800000001,6.0,"1.61,44.5",55.45,0,,,,,,,,
8,Standard,,350.351500000001,104.8,"1.61,44.5",53.78,0,,,,,,,,
9,Standard,,70.3762,3.5,"1.77,49.6",31.37,0,,,,,,,,
10,Standard,,47.5154,10.8,"1.77,49.6",29.15,0,,,,,,,,
11,Standard,,243.3331,17.545,"1.50,82.6",29.15,0,,,,,,,,
12,Standard,,7239458.233416611,3.0,"1.92,20.9",23.26,0,,,,,,,,
13,Standard,,-206.782,2.5,"1.92,20.9",22.67,0,,,,,,,,
14,Standard,,82.7523000000002,45.385,"1.83,42.7",22.07,0,,,,,,,,
15,Standard,,7239458.233416611,13.2,"1.83,42.7",17.2605,0,,,,,,,,
16,Standard,,125.8462,1.8,"1.90,35.7",16.53,0,,,,,,,,
17,Standard,,46.604,6.0,"1.90,35.7",16.7,0,,,,,,,,
18,Standard,,-146.6583,10.0,"1.59,67.9",16.7,0,,,,,,,,
19,Standard,,-252.0989,3.2,"1.78,25.7",16.1,0,,,,,,,,
20,Standard,,-68.0009999999999,2.0,"1.78,25.7",16.1,0,,,,,,,,
21,Standard,,67.9727000000001,1.7,"1.50,82.6",15.06,0,,,,,,,,
22,Standard,,7239458.233416611,1.8,"1.82,46.6",15.06,0,,,,,,,,
23,Standard,,75.4444000000001,4.5,"1.82,46.6",15.06,0,,,,,,,,
24,Standard,,46.9589999999999,7.4,"1.61,44.5",15.5,0,,,,,,,,
25,Standard,,-46.9589999999999,1.15,"1.61,44.5",15.5,0,,,,,,,,
26,Standard,,-46.224,1.7,"1.92,20.9",15.84,0,,,,,,,,
27,Standard,,-75.1557999999998,7.4,"1.92,20.9",15.84,0,,,,,,,,
28,Standard,,-59.2874,2.45,"1.59,67.9",16.02,0,,,,,,,,
29,Standard,,42.619,1.95,"1.59,67.9",16.02,0,,,,,,,,
30,Standard,,51.7215,5.4,"1.67,47.1",16.78,0,,,,,,,,
31,Standard,,-154.5582,6.15,"1.67,47.1",16.78,0,,,,,,,,
32,Standard,,7239458.233416611,1.5,"1.52,63.9",17.55,0,,,,,,,,
33,Standard,,7239458.233416611,75.12,"1.52,63.9",17.55,0,,,,,,,,
34,Standard,,7239458.233416611,130819.68004041509,"1.52,63.9",21.6,0,,,,,,,,
