Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416612,130819.68004041509,nan,12861.682062363132,0,,,,,,,,
1,Standard,,66.0605,9.2236,"1.92,20.9",32.83,0,,,,,,,,
2,Standard,,485.5991,3.5225,"1.92,20.9",32.83,0,,,,,,,,
3,Standard,,-5608.83059999999,1.5,"1.52,64.2",27.6,0,,,,,,,,
4,Standard,,24.4639,16.1084,"1.52,64.2",20.11,0,,,,,,,,
5,Standard,,-42.3161,1.5,"1.58,40.9",20.56,0,,,,,,,,
6,Standard,,200.323,3.6265,"1.58,40.9",23.07,0,,,,,,,,
7,Even Asphere,,249.4497,9.0,"1.81,40.9",21.48,0,0.0,4.04714e-07,2.58016e-09,4.51006e-12,-1.10997e-14,0.0,0.0,0.0
8,Even Asphere,,-75.2160000000002,0.2,"1.81,40.9",21.48,0,0.0,3.8726e-06,1.87609e-09,7.45815e-12,-1.12514e-14,0.0,0.0,0.0
9,Standard,,81.9814999999999,10.7154,"1.59,68.6",24.425,0,,,,,,,,
10,Standard,,-53.4384,0.3,"1.59,68.6",24.425,0,,,,,,,,
11,Standard,,114.347,7.7332,"1.59,68.6",21.06,0,,,,,,,,
12,Standard,,-52.0541,1.51,"1.59,68.6",21.06,0,,,,,,,,
13,Standard,,41.4126,6.6853,"1.85,24.8",23.025,0,,,,,,,,
14,Standard,,65.4871999999998,10.0635,"1.80,46.5",20.98,0,,,,,,,,
15,Standard,,-53.8184999999999,1.0,"1.80,46.5",20.91,0,,,,,,,,
16,Standard,,7239458.233416612,1.5,"1.80,46.5",18.651,0,,,,,,,,
17,Standard,,64.1418,1.4,"1.72,29.5",17.84,0,,,,,,,,
18,Standard,,29.2025,19.687,"1.72,29.5",16.4,0,,,,,,,,
19,Standard,,147.4207,5.1,"1.95,18.0",17.7,0,,,,,,,,
20,Standard,,-72.6539000000002,2.0,"1.95,18.0",17.7,0,,,,,,,,
21,Standard,,-154.2306,1.51,"1.57,42.8",19.075,0,,,,,,,,
22,Standard,,45.8026999999999,9.0554,"1.57,42.8",19.075,0,,,,,,,,
23,Standard,,-55.2867000000001,6.539,"1.55,75.5",19.075,0,,,,,,,,
24,Even Asphere,,-30.7259,2.0,"1.69,31.1",16.95,0,0.0,1.32764e-05,9.38299e-09,-5.0085e-11,7.82519e-14,0.0,0.0,0.0
25,Even Asphere,,-215.5886,13.42,"1.69,31.1",18.465,0,0.0,3.61044e-06,5.93299e-09,-4.07704e-11,5.45033e-14,0.0,0.0,0.0
26,Standard,,7239458.233416612,2.1,"1.52,64.2",21.73,0,,,,,,,,
27,Standard,,7239458.233416612,1.0042,"1.52,64.2",21.73,0,,,,,,,,
28,Standard,,7239458.233416612,130819.68004041509,"1.52,64.2",21.63,0,,,,,,,,
